game_official_name,game_short_name,game_release_date,series_universe,platform_official_name,platform_short_name,platform_brand,platform_release_date
Action Fighter,Action Fighter,1986-08-17,Action Fighter,Sega Master System,Master System,SEGA,1987-09-01
Aerial Assault,Aerial Assault,1990-12-01,Aerial Assault,Sega Master System,Master System,SEGA,1987-09-01
After Burner,After Burner,1987-12-12,After Burner,Sega Master System,Master System,SEGA,1987-09-01
Alex Kidd in Miracle World,Alex Kidd,1987-09-01,Alex Kidd,Sega Master System,Master System,SEGA,1987-09-01
Alex Kidd In Shinobi World,Alex Kidd In Shinobi World,1990-08-01,Alex Kidd,Sega Master System,Master System,SEGA,1987-09-01
Alex Kidd: High-Tech World,Alex Kidd: High-Tech World,1989-07-01,Alex Kidd,Sega Master System,Master System,SEGA,1987-09-01
Altered Beast,Altered Beast,1989-01-01,Altered Beast,Sega Master System,Master System,SEGA,1987-09-01
Assault City,Assault City,1990-01-01,Assault City,Sega Master System,Master System,SEGA,1987-09-01
Assault City (Light Phaser Version),Assault City,1990-01-01,Assault City,Sega Master System,Master System,SEGA,1987-09-01
Asterix and the Secret Mission,Asterix,1993-01-01,Asterix,Sega Master System,Master System,SEGA,1987-09-01
Astro Warrior/Pit Pot,Astro Warrior/Pit Pot,1986-01-01,Astro Warrior/Pit Pot,Sega Master System,Master System,SEGA,1987-09-01
Ayrton Senna's Super Monaco GP II,Ayrton Senna,1992-01-01,Ayrton Senna,Sega Master System,Master System,SEGA,1987-09-01
Aztec Adventure,Aztec Adventure,1988-09-01,Aztec Adventure,Sega Master System,Master System,SEGA,1987-09-01
Bad Apple,Bad Apple,2017-03-27,Bad Apple,Sega Master System,Master System,SEGA,1987-09-01
Bank Panic,Bank Panic,1987-01-01,Bank Panic,Sega Master System,Master System,SEGA,1987-09-01
Batman Returns,Batman,1994-08-19,Batman Returns,Sega Master System,Master System,SEGA,1987-09-01
Black Belt,Black Belt,1986-01-01,Black Belt,Sega Master System,Master System,SEGA,1987-09-01
Bomber Raid,Bomber Raid,1989-02-01,Bomber Raid,Sega Master System,Master System,SEGA,1987-09-01
