official_name,short_name,platform_official_name,release_date,series_universe
Action Fighter,Action Fighter,Sega Master System,1986-08-17,Action Fighter
Aerial Assault,Aerial Assault,Sega Master System,1990-12-01,Aerial Assault
After Burner,After Burner,Sega Master System,1987-12-12,After Burner
Alex Kidd in Miracle World,Alex Kidd,Sega Master System,1987-09-01,Alex Kidd
Alex Kidd In Shinobi World,Alex Kidd In Shinobi World,Sega Master System,1990-08-01,Alex Kidd
Alex Kidd: High-Tech World,Alex Kidd: High-Tech World,Sega Master System,1989-07-01,Alex Kidd
Altered Beast,Altered Beast,Sega Master System,1989-01-01,Altered Beast
Assault City,Assault City,Sega Master System,1990-01-01,Assault City
Assault City (Light Phaser Version),Assault City,Sega Master System,1990-01-01,Assault City
Asterix and the Secret Mission,Asterix,Sega Master System,1993-01-01,Asterix
Astro Warrior/Pit Pot,Astro Warrior/Pit Pot,Sega Master System,1986-01-01,Astro Warrior/Pit Pot
Ayrton Senna's Super Monaco GP II,Ayrton Senna,Sega Master System,1992-01-01,Ayrton Senna
Aztec Adventure,Aztec Adventure,Sega Master System,1988-09-01,Aztec Adventure
Bad Apple,Bad Apple,Sega Master System,2017-03-27,Bad Apple
Bank Panic,Bank Panic,Sega Master System,1987-01-01,Bank Panic
Batman Returns,Batman,Sega Master System,1994-08-19,Batman Returns
Black Belt,Black Belt,Sega Master System,1986-01-01,Black Belt
Bomber Raid,Bomber Raid,Sega Master System,1989-02-01,Bomber Raid
Castle of Illusion Starring Mickey Mouse,Castle of Illusion,Sega Master System,1991-02-01,Castle of Illusion
Champions of Europe,Champions of Europe,Sega Master System,1992-06-01,Champions of Europe
Choplifter,Choplifter,Sega Master System,1987-08-01,Choplifter
Columns,Columns,Sega Master System,1990-01-01,Columns
Cool Spot,Cool Spot,Sega Master System,1993-11-01,Cool Spot
Crash Dummies,Crash Dummies,Sega Master System,1993-01-01,Crash Dummies
Cross Snake,Cross Snake,Sega Master System,2021-05-13,Cross Snake
Cyborg Hunter,Cyborg Hunter,Sega Master System,1988-01-01,Cyborg Hunter
Daffy Duck in Hollywood,Daffy Duck,Sega Master System,1994-02-01,Daffy Duck
Das Dschungelbuch,Das Dschungelbuch,Sega Master System,1993-01-01,Das Dschungelbuch
Deep Duck Trouble Starring Donald Duck,Donald Duck,Sega Master System,1994-01-01,Donald Duck
Der König der Löwen,Der König der Löwen,Sega Master System,1994-11-04,Der König der Löwen
Desert Speedtrap starring Road Runner and Wile E. Coyote,Desert Speedtrap,Sega Master System,1994-05-16,Desert Speedtrap
Dick Tracy,Dick Tracy,Sega Master System,1990-01-01,Dick Tracy
Disney's Aladdin,Aladdin,Sega Master System,1994-12-31,Disney
Disney's Le Livre de la Jungle,Le Livre de la Jungle,Sega Master System,1993-01-01,Disney
Disney's Le Roi Lion,Le Roi Lion,Sega Master System,1994-01-01,Disney
Double Dragon,Double Dragon,Sega Master System,1988-01-01,Double Dragon
Dragon: The Bruce Lee Story,The Bruce Lee Story,Sega Master System,1994-01-01,Dragon
Dynamite Duke,Dynamite Duke,Sega Master System,1989-01-01,Dynamite Duke
E-SWAT,E-SWAT,Sega Master System,1989-01-01,E-SWAT
Enduro Racer,Enduro Racer,Sega Master System,1987-08-01,Enduro Racer
F-16 Fighter,F-16 Fighter,Sega Master System,1985-01-01,F-16 Fighter
Fantasy Zone,Fantasy Zone,Sega Master System,1987-08-01,Fantasy Zone
G-LOC: Air Battle,G-LOC,Sega Master System,1991-01-01,G-LOC
Galaxy Force,Galaxy Force,Sega Master System,1989-01-01,Galaxy Force
Ghost House,Ghost House,Sega Master System,1987-08-01,Ghost House
Ghostbusters,Ghostbusters,Sega Master System,1987-01-01,Ghostbusters
Ghouls'n Ghosts,Ghouls'n Ghosts,Sega Master System,1991-04-01,Ghouls'n Ghosts
Global Defense,Global Defense,Sega Master System,1988-04-01,Global Defense
Golden Axe,Golden Axe,Sega Master System,1990-01-01,Golden Axe
Great Baseball,Great Baseball,Sega Master System,1987-01-01,Great Baseball
Great Basketball,Great Basketball,Sega Master System,1987-06-01,Great Basketball
Great Football,Great Football,Sega Master System,1987-07-01,Great Football
Great Golf,Great Golf,Sega Master System,1987-01-01,Great Golf
Great Ice Hockey,Great Ice Hockey,Sega Master System,1987-01-01,Great Ice Hockey
Great Soccer,Great Soccer,Sega Master System,1986-01-01,Great Soccer
Great Volleyball,Great Volleyball,Sega Master System,1987-01-01,Great Volleyball
Hang On,Hang On,Sega Master System,1986-01-01,Hang On
Heroes of the Lance,Heroes of the Lance,Sega Master System,1991-01-01,Heroes of the Lance
Impossible Mission,Impossible Mission,Sega Master System,1988-12-31,Impossible Mission
Indiana Jones and the Last Crusade: The Action Game,Indiana Jones and the Last Crusade,Sega Master System,1990-11-29,Indiana Jones
James Pond 2: Codename RoboCod,James Pond 2,Sega Master System,1993-01-01,James Pond
Joe Montana Football,Joe Montana Football,Sega Master System,1990-01-01,Joe Montana Football
Kung Fu Kid,Kung Fu Kid,Sega Master System,1988-01-01,Kung Fu Kid
Land of Illusion Starring Mickey Mouse,Land of Illusion Starring Mickey Mouse,Sega Master System,1992-09-25,Mickey Mouse
Laser Ghost,Laser Ghost,Sega Master System,1991-12-01,Laser Ghost
Lemmings,Lemmings,Sega Master System,1992-11-20,Lemmings
Les Schtroumpfs,Les Schtroumpfs,Sega Master System,1994-01-01,Les Schtroumpfs
Les Schtroumpfs: Autour du Monde,Les Schtroumpfs 2,Sega Master System,1996-01-01,Les Schtroumpfs
Machine Gun Joe,Machine Gun Joe,Sega Master System,1986-04-21,Machine Gun Joe
Marksman Shooting / Trap Shooting / Safari Hunt,Marksman Shooting / Trap Shooting / Safari Hunt,Sega Master System,1986-01-01,Marksman
Master of Darkness,Master of Darkness,Sega Master System,1992-12-01,Master of Darkness
Michael Jackson's Moonwalker,Michael Jackson,Sega Master System,1990-01-01,Michael Jackson
My Hero,My Hero,Sega Master System,1986-01-01,My Hero
Olympic Gold: Barcelona '92 [Jeu A Tirage Limitée],Olympic Gold,Sega Master System,1992-01-01,Olympics
Out Run,Out Run,Sega Master System,1987-10-01,Out Run
OutRun Europa,OutRun Europa,Sega Master System,1991-01-01,OutRun Europa
Paperboy,Paperboy,Sega Master System,1990-01-01,Paperboy
Parlour Games,Parlour Games,Sega Master System,1990-11-01,Parlour Games
Power Strike II,Power Strike II,Sega Master System,1993-09-01,Power Strike II
Pro Wrestling,Pro Wrestling,Sega Master System,1986-12-01,Pro Wrestling
Psycho Fox,Psycho Fox,Sega Master System,1990-05-01,Psycho Fox
