game_official_name,game_short_name,game_release_date,series_universe,platform_official_name,platform_short_name,platform_brand,platform_release_date
Alex Kidd in Miracle World,Alex Kidd,1987-09-01,Alex Kidd,Sega Master System,Master System,SEGA,1987-09-01
Castle of Illusion Starring Mickey Mouse,Castle of Illusion,1991-02-01,Castle of Illusion,Sega Master System,Master System,SEGA,1987-09-01
Enduro Racer,Enduro Racer,1987-08-01,Enduro Racer,Sega Master System,Master System,SEGA,1987-09-01
Out Run,Out Run,1987-10-01,Out Run,Sega Master System,Master System,SEGA,1987-09-01
Psycho Fox,Psycho Fox,1990-05-01,Psycho Fox,Sega Master System,Master System,SEGA,1987-09-01
Shinobi,Shinobi,1988-09-01,Shinobi,Sega Master System,Master System,SEGA,1987-09-01
Sonic the Hedgehog,Sonic,1991-12-28,Sonic the Hedgehog,Sega Master System,Master System,SEGA,1987-09-01
Super Mario Bros.,Super Mario Bros.,1987-05-15,Super Mario,Nintendo Entertainment System,NES,Nintendo,1987-09-01
The Legend of Zelda,The Legend of Zelda,1987-08-22,The Legend of Zelda,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Adventure of Link,Adventure of Link,1988-12-01,The Legend of Zelda,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Teenage Mutant Ninja Turtles,TMNT,1989-06-25,Teenage Mutant Ninja Turtles,Nintendo Entertainment System,NES,Nintendo,1987-09-01
RoboCop,RoboCop,1989-08-25,RoboCop,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Konami Hyper Soccer,Konami Hyper Soccer,1992-01-01,Konami,Nintendo Entertainment System,NES,Nintendo,1987-09-01
McDonald's Land,McDonald's Land,1993-05-19,McDonald's Land,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Super Mario World,Super Mario World,1991-08-13,Super Mario,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
The Legend of Zelda: A Link to the Past,A Link to the Past,1992-09-24,The Legend of Zelda,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Secret of Mana,Secret of Mana,1994-11-24,Mana,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Street Fighter II Turbo,Street Fighter II Turbo,1993-10-01,Street Fighter,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Super Mario Kart,Super Mario Kart,1992-09-01,Mario Kart,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Pilotwings,Pilotwings,1991-08-23,Pilotwings,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
