official_name,short_name,platform_official_name,release_date,series_universe
Alex Kidd in Miracle World,Alex Kidd,Sega Master System,1987-09-01,Alex Kidd
Castle of Illusion Starring Mickey Mouse,Castle of Illusion,Sega Master System,1991-02-01,Castle of Illusion
Enduro Racer,Enduro Racer,Sega Master System,1987-08-01,Enduro Racer
Out Run,Out Run,Sega Master System,1987-10-01,Out Run
Psycho Fox,Psycho Fox,Sega Master System,1990-05-01,Psycho Fox
Shinobi,Shinobi,Sega Master System,1988-09-01,Shinobi
Sonic the Hedgehog,Sonic,Sega Master System,1991-12-28,Sonic the Hedgehog
Super Mario Bros.,Super Mario Bros.,Nintendo Entertainment System,1987-05-15,Super Mario
The Legend of Zelda,The Legend of Zelda,Nintendo Entertainment System,1987-08-22,The Legend of Zelda
Adventure of Link,Adventure of Link,Nintendo Entertainment System,1988-12-01,The Legend of Zelda
Teenage Mutant Ninja Turtles,TMNT,Nintendo Entertainment System,1989-06-25,Teenage Mutant Ninja Turtles
RoboCop,RoboCop,Nintendo Entertainment System,1989-08-25,RoboCop
Konami Hyper Soccer,Konami Hyper Soccer,Nintendo Entertainment System,1992-01-01,Konami
McDonald's Land,McDonald's Land,Nintendo Entertainment System,1993-05-19,McDonald's Land
Super Mario World,Super Mario World,Super Nintendo Entertainment System,1991-08-13,Super Mario
The Legend of Zelda: A Link to the Past,A Link to the Past,Super Nintendo Entertainment System,1992-09-24,The Legend of Zelda
Secret of Mana,Secret of Mana,Super Nintendo Entertainment System,1994-11-24,Mana
Street Fighter II Turbo,Street Fighter II Turbo,Super Nintendo Entertainment System,1993-10-01,Street Fighter
Super Mario Kart,Super Mario Kart,Super Nintendo Entertainment System,1992-09-01,Mario Kart
Pilotwings,Pilotwings,Super Nintendo Entertainment System,1991-08-23,Pilotwings
